AgentID,Name,Region,Specialization,HireDate,TotalPoliciesSold
AGE1340,Tough,North,Inside,18-08-2022,9999
AGE0108,Order,East,Program,22-05-2022,211
AGE1342,Research,North,Value,2024-11-18,103
AGE1343,Surface,West,Realize,30/07/2022,137
AGE1344,Successful,East,Nation,06-04-2022,94
AGE1345,Ability,Central,Daughter,06/17/2023,22
AGE1346,But,South,Mother,2023-06-18,85
AGE1347,Experience,North,Necessary,02/13/2024,145
AGE1348,Century,West,However,09/02/2024,230
AGE1349,Career,West,Company,05-10-2024,100
AGE1350,Moment,South,Image,28/06/2022,71
AGE1351,Environment,North,Guy,25/01/2024,0
AGE1352,Two,Central,Half,16-10-2024,218
AGE1353,Responsibility,North,Mother,2022-12-17,277
AGE1354,Head,Central,Through,2022-08-04,124
AGE1355,Power,CENTRAL,Cell,24-02-2023,279
AGE1356,Shoulder,South,Thing,07-02-2022,282
AGE1357,Whatever,North,Piece,2024-11-02,133
AGE1358,Act,South,International,03/18/2024,197
AGE1359,Fish,North,End,09/11/2023,209
AGE1360,Require,East,Tough,2024-06-28,140
AGE1361,Need,South,Different,2022-08-08,41
AGE1362,Source,East,Once,03/04/2022,33
AGE1363,Will,West,Situation,02/04/2022,61
AGE1364,Nearly,East,Decade,05-05-2024,221
INVALID_50,Anyone,East,Natural,2023-01-17,251
AGE1366,Give,North,Only,05/02/2022,28
AGE1367,Understand,North,Appear,05/19/2022,70
AGE1368,Wife,east,Marriage,11/08/2024,88
AGE0431,Alone,South,Toward,06/23/2023,117
AGE1370,Small,West,Everything,2023-11-18,289
AGE1371,Difficult,Central,On,12/28/2023,154
AGE1372,System,South,Build,2022-11-29,197
AGE1373,Fill,Central,Down,29-11-2023,283
AGE1374,Option,West,My,2024-10-18,2
AGE1375,Than,North,Responsibility,2024-09-25,2
INVALID_38,Pick,Central,Up,05/08/2022,68
INVALID_79,Nor,North,Finally,01/09/2023,107
AGE0778,Central,NORTH,Vote,12/08/2023,29
AGE1379,Throw,Central,This,09-01-2022,83
AGE1380,War,North,Risk,24-11-2022,66
AGE1381,Blue,South,Country,02/23/2023,23
AGE1382,Enjoy,East,Senior,07/23/2022,199
AGE1383,Bar,Central,Particularly,2022-03-02,56
AGE1384,Civil,East,Design,06-02-2024,149
AGE1385,Draw,Central,Focus,19/06/2024,119
AGE1386,Story,Central,Chance,01/27/2022,180
AGE1387,Around,West,Stand,19/01/2022,5
AGE1388,Early,East,Environmental,10-10-2023,104
AGE1389,Themselves,CENTRAL,Heavy,26/08/2022,52
AGE1390,Your,Central,Stage,19/05/2022,-1
AGE1391,Meet,Central,Control,28/08/2023,204
AGE1392,Agent,WEST,Tree,2023-03-19,150
AGE1393,Door,Central,Owner,25/05/2022,112
AGE1394,That,East,Group,2024-10-31,284
AGE1395,Local,WEST,List,2023-09-02,90
AGE1396,But,South,Race,2023-12-08,229
AGE1397,Us,Central,Him,2024-11-25,269
AGE1398,Win,central,Fear,27-04-2022,123
AGE1399,Pressure,West,Herself,10-12-2022,0
AGE1400,Yourself,North,Professional,10/27/2022,109
AGE1401,Management,South,Impact,02/13/2023,0
AGE1402,Pick,South,Her,07/18/2024,207
AGE1403,Note,South,Message,2024-11-28,262
AGE1404,Really,south,School,2024-09-10,128
AGE1405,Court,West,Training,10-06-2024,245
INVALID_38,Success,East,Some,05/21/2024,299
AGE1407,Star,North,Detail,01/10/2023,193
AGE1408,Market,East,Week,2023-12-27,284
AGE0873,Write,South,Night,07-07-2023,253
AGE1410,Whole,Central,Can,15/04/2022,149
AGE1411,International,South,Carry,2024-05-10,263
AGE1412,Social,Central,Page,2024-01-21,231
AGE1413,Term,Central,Perhaps,2022-05-12,245
AGE1414,Town,Central,Billion,14-03-2023,203
AGE1415,Officer,West,Practice,22-05-2022,9999
AGE1416,Like,North,Minute,13/12/2023,97
AGE1417,Never,North,Drop,02/20/2023,146
AGE1418,Education,North,Message,09/11/2024,103
AGE1419,Turn,East,Put,03/01/2022,143
AGE1420,Seem,Central,Wrong,2023-07-21,120
AGE1421,Quite,Central,Anyone,2022-01-02,60
AGE1422,Customer,West,Information,08/12/2024,32
AGE1423,Idea,East,Career,10-03-2023,10
AGE0301,Night,North,Government,03-08-2022,184
AGE1425,Sense,West,He,09/16/2023,201
AGE1426,From,West,Maybe,06/03/2024,16
AGE1427,Character,South,Especially,01/25/2023,94
AGE0164,Defense,South,Help,01/29/2022,205
AGE1429,Natural,South,Memory,07/11/2023,80
AGE1430,Hit,Central,Body,01-06-2024,3
AGE1431,Speech,North,Either,11/29/2024,87
AGE1432,Ahead,South,Series,03/31/2022,250
AGE1433,Main,West,Little,2023-08-26,297
AGE1434,Society,East,Garden,03-05-2023,46
AGE1435,Claim,North,National,2022-11-25,161
AGE1436,Upon,Central,Card,16/10/2023,38
AGE1437,Environment,South,As,30-09-2023,0
AGE1438,Memory,West,Stock,28/08/2024,140
AGE1439,Assume,West,Analysis,30/09/2024,102
AGE1440,Successful,West,Help,01/24/2022,126
AGE1441,Model,North,Member,2023-04-01,61
AGE1442,Every,East,Necessary,25-12-2022,134
INVALID_27,Final,East,This,2024-04-16,60
AGE1444,Control,Central,They,07/03/2022,244
AGE1445,By,Central,Condition,15/06/2023,2
AGE1446,New,Central,Once,14-06-2022,290
AGE1447,Attention,North,Buy,03/16/2023,230
AGE1448,Many,West,Push,31-05-2024,1
AGE1449,Television,North,Ball,21/09/2024,261
AGE1450,Effort,Central,Trade,2022-06-18,156
AGE1451,I,Central,Country,22-03-2022,290
AGE1452,Might,South,Could,10/10/2023,55
AGE0059,Clear,North,Everything,2024-02-02,236
AGE1454,Support,Central,Late,16/05/2023,63
AGE1455,Truth,north,Decade,2023-01-14,205
AGE1456,Most,Central,Break,2023-07-28,20
INVALID_64,Other,WEST,Stage,10/15/2023,292
AGE1458,Mouth,Central,Course,06-12-2024,115
AGE1459,Address,Central,Reality,01/31/2023,207
AGE1460,Kind,Central,Opportunity,2022-11-12,246
AGE1461,Figure,South,Cost,08/08/2023,120
AGE1462,Tv,West,Seem,13/11/2024,123
AGE1463,General,Central,Poor,2022-03-18,42
AGE1464,Community,North,Mother,2023-02-14,292
AGE1386,Hospital,West,Like,22-04-2023,164
INVALID_19,Bring,West,Detail,2022-07-23,7
AGE1467,Evidence,South,Ever,15/10/2023,299
AGE1468,Our,South,Politics,21-03-2023,220
AGE1469,Whether,Central,Up,08-06-2023,246
AGE1470,Show,West,Behind,12/08/2024,151
AGE1042,Three,West,Western,2024-02-25,207
AGE1472,The,West,Whose,31/07/2023,180
AGE0897,Road,East,Want,05/06/2022,139
AGE1474,Wear,West,Risk,04-06-2023,107
AGE1475,It,Central,Movie,11/20/2022,185
INVALID_46,Area,Central,You,20-09-2024,126
AGE1477,Best,Central,Economy,10/28/2023,112
AGE1478,Share,North,Billion,29/06/2023,207
AGE1479,Live,Central,Travel,2023-02-28,230
AGE1480,Recognize,North,Popular,2024-07-29,29
AGE1481,Personal,West,Even,2022-12-30,6
AGE1482,Yet,West,Drug,18/07/2022,19
AGE0056,Month,WEST,Practice,2023-04-11,11
AGE1484,Ok,Central,Reality,02/03/2022,97
AGE0972,Fire,North,American,28/11/2023,81
AGE1486,A,Central,Design,25-02-2023,256
AGE1487,Serve,West,Gas,22/03/2022,252
AGE1488,Evidence,North,Green,28/08/2022,255
AGE1489,Measure,West,System,24/07/2022,281
INVALID_36,Land,SOUTH,New,04/20/2024,9999
AGE1491,Weight,North,Head,01-09-2022,141
AGE1492,Wall,East,Little,2024-05-07,135
AGE1493,Modern,North,Image,19/02/2022,80
AGE1494,Go,South,Discussion,27-05-2023,200
AGE1495,Former,North,Learn,2024-01-25,148
AGE0220,Decision,South,Partner,03-04-2022,211
AGE1497,Tough,East,Eat,02-10-2024,138
AGE1498,Authority,Central,Down,12/23/2023,264
AGE1499,Financial,East,List,05/04/2024,15
AGE0133,West,WEST,Race,28-01-2024,214
AGE1501,Successful,West,Run,07-11-2022,58
AGE1502,Affect,North,Fall,29-05-2023,160
AGE1503,Answer,East,Nature,09/11/2024,202
AGE1504,Impact,North,Use,12-08-2022,0
AGE1505,Thousand,North,Near,17-09-2022,16
AGE1506,Business,South,Camera,10/07/2022,73
AGE1507,Half,North,Then,2023-05-12,181
AGE1508,Executive,CENTRAL,Own,23-08-2022,300
AGE1509,Strategy,Central,Money,2024-05-28,9999
AGE1510,Country,west,Play,12/15/2023,222
AGE1511,Onto,North,Against,05/21/2023,295
AGE1512,From,South,Realize,20-06-2024,87
AGE1513,Member,East,Service,27-02-2023,141
AGE1514,Actually,SOUTH,Employee,02/11/2022,292
AGE1515,My,west,Federal,02/09/2022,193
AGE1516,Top,South,Where,07/30/2024,294
AGE1517,Concern,East,Look,04/26/2023,243
AGE1518,Many,North,Lawyer,24/11/2023,186
AGE1519,South,West,Huge,05-05-2024,106
AGE1520,School,East,Staff,09-11-2023,172
AGE1521,Voice,Central,Reach,02/01/2024,89
AGE1522,Job,West,Girl,2023-10-21,9999
AGE1523,West,WEST,Some,07/07/2024,230
AGE1524,Win,West,Republican,09/11/2023,163
AGE1525,Power,Central,Beyond,09/19/2023,36
INVALID_93,Dark,West,That,2023-05-25,28
AGE1527,Thank,East,Upon,05-09-2024,204
AGE1528,Year,West,Food,2024-04-06,222
AGE1529,Standard,West,For,13-10-2024,155
AGE1530,Dog,Central,Eight,19/01/2024,84
AGE1531,Official,East,Business,21/10/2022,193
AGE1532,Official,North,Campaign,15-04-2022,233
AGE1533,Manager,CENTRAL,Available,2022-02-12,87
AGE1534,Will,West,Identify,2022-03-23,243
AGE1535,Run,West,Hour,06/01/2024,125
AGE1536,Enough,South,Where,2023-04-27,196
AGE1537,Forget,North,Wonder,21/11/2023,183
AGE1538,Technology,West,Some,05/27/2024,30
AGE1539,Education,North,College,2024-09-26,51
AGE1540,Parent,WEST,Too,2023-12-15,232
AGE1541,Behavior,North,Sit,07/26/2023,200
AGE1542,Peace,North,Wide,17/02/2022,113
AGE0369,Both,West,Dog,2024-04-10,124
AGE1544,Able,West,Toward,07-10-2022,283
AGE1545,Least,North,Here,2023-08-21,11
AGE0021,Gun,East,Small,05/16/2023,19
AGE1547,Improve,West,That,18/06/2024,276
AGE1548,Along,North,Popular,2023-04-29,38
AGE0707,Church,East,Hour,06/15/2022,149
AGE1550,Name,North,Available,02/28/2024,70
AGE1551,Radio,Central,Personal,27-10-2024,185
AGE1552,Member,West,Exactly,09-05-2024,136
AGE1553,House,West,Relationship,09/10/2024,218
AGE1554,Never,East,Task,2022-12-27,115
AGE1555,Five,South,Leg,18/08/2022,210
AGE1556,So,West,Ago,20-12-2024,52
AGE1557,North,central,Not,12/07/2024,206
AGE1558,Authority,West,Son,2022-09-18,182
AGE1559,Difference,South,Tonight,2022-02-11,214
AGE1560,Chance,South,Name,21-09-2023,285
AGE1561,Behavior,East,Bag,11/24/2023,162
AGE0672,Yard,North,Decision,08-11-2023,185
AGE1563,Car,East,Government,17-02-2024,65
AGE1564,Also,West,Feeling,18/07/2024,79
AGE1565,Same,South,Spend,20/01/2024,101
AGE1566,After,North,Itself,21/01/2022,101
AGE1567,Dream,SOUTH,More,2023-03-15,0
AGE1568,Yes,South,Laugh,21/03/2024,185
AGE1569,Seat,East,Site,15-07-2024,130
AGE1570,Assume,East,Fast,10/07/2022,173
AGE1571,Name,West,Answer,08/10/2022,2
AGE1572,Religious,West,Public,2024-12-02,286
AGE1573,Gun,SOUTH,Weight,12/11/2024,215
AGE1574,Let,West,Loss,2023-06-13,154
AGE1575,Tree,South,These,2024-04-05,290
AGE1576,Young,North,Cup,30-10-2023,132
AGE1504,Front,North,Wish,23-12-2024,40
AGE1578,Citizen,West,Everyone,23/09/2023,0
AGE1579,Game,South,Future,2022-10-14,247
AGE1580,Leave,South,Others,26-11-2023,185
AGE1581,Listen,East,Building,18/10/2022,1
AGE1582,Challenge,West,Themselves,11-06-2022,226
AGE1583,Manage,Central,Thought,06/12/2023,-1
AGE1584,Be,Central,Exist,05/02/2022,95
AGE1585,Into,West,Front,12/05/2024,83
AGE1586,To,North,Avoid,27/07/2024,104
AGE1587,Others,North,Dog,19/07/2024,131
INVALID_88,Able,South,Financial,08/06/2022,17
AGE1589,Either,Central,Bar,27/06/2024,34
AGE1590,Miss,CENTRAL,Message,04/18/2024,224
AGE1591,Build,Central,Other,20-07-2024,37
AGE1592,Power,East,Benefit,2022-05-30,156
INVALID_62,If,Central,Land,2024-02-09,109
AGE1594,Surface,North,Kind,2023-10-11,28
AGE1595,And,North,Nor,16-02-2024,187
AGE1596,Area,West,Control,2022-08-20,52
INVALID_23,Instead,East,Yeah,12/07/2024,15
AGE1598,Wall,South,North,26/10/2022,26
AGE1599,Fight,Central,Board,24/09/2022,59
AGE1600,Body,East,Gun,21/01/2023,46
AGE1601,Energy,East,Ever,12-02-2022,89
AGE1602,But,West,City,2024-04-30,111
AGE1603,Increase,East,Test,27/02/2022,185
AGE1604,Avoid,Central,Let,2022-08-24,277
AGE1605,Lead,West,Final,2024-03-31,183
AGE1606,Fight,Central,Hundred,07/27/2022,221
AGE1607,Believe,Central,Since,03/30/2022,22
AGE1608,Worker,Central,Remain,05/03/2022,275
AGE1609,Pm,South,Sell,2024-06-13,12
AGE1610,Compare,East,Theory,2022-07-27,199
AGE1611,Part,North,Material,01/17/2024,224
AGE1612,Owner,Central,Use,2024-09-28,70
AGE1613,Source,East,Tend,2023-04-24,193
INVALID_76,Event,West,Call,2022-07-31,255
AGE1615,Pass,East,Mother,12/01/2023,134
AGE1616,Answer,West,Nature,04-04-2023,235
AGE1617,Ago,West,Mind,14-02-2023,119
AGE1618,Tough,North,Leader,30-12-2022,87
AGE1619,Property,West,Avoid,2022-08-15,206
INVALID_12,Sometimes,South,Particularly,02/02/2024,291
AGE1621,Second,West,Find,2023-09-04,29
AGE0121,Foot,West,Certainly,01/08/2024,247
AGE1623,Design,SOUTH,Real,08-05-2023,102
AGE1624,Continue,East,Real,2024-10-21,215
AGE1625,Hundred,East,Wind,12/09/2023,214
AGE1626,Laugh,East,Real,01/28/2022,182
AGE1627,Campaign,South,Always,2022-07-04,185
AGE1628,Mouth,West,Most,15/08/2024,299
AGE1629,Begin,East,Letter,2023-02-11,264
AGE1630,Treat,Central,Challenge,2024-12-03,242
AGE1631,Trade,NORTH,Study,10/14/2024,222
AGE1632,Off,North,Benefit,29/08/2022,229
AGE1633,Huge,West,Price,13-04-2023,27
AGE1634,Somebody,South,Represent,2022-12-05,266
AGE1635,Care,East,You,08/28/2023,81
AGE1636,Light,Central,Place,21-02-2023,206
AGE1637,Add,West,Program,2023-01-03,83
AGE1638,Sometimes,South,Itself,09/02/2024,240
AGE1639,Serve,East,Game,2022-04-08,181
AGE1640,Add,West,Institution,08/13/2022,138
AGE1641,Production,North,Ago,25/03/2023,170
AGE1642,Player,North,Place,20/12/2023,3
AGE1643,Audience,Central,Discuss,03/09/2024,220
AGE1644,Involve,West,From,01-07-2022,136
AGE1645,Second,East,Around,08/12/2022,260
AGE1646,Water,South,Father,08/04/2024,185
AGE1647,Tv,Central,Thank,06/24/2024,24
AGE1648,Democrat,South,Total,07-05-2022,284
AGE1021,Everybody,South,Responsibility,21/03/2024,187
AGE1650,Family,Central,This,16-03-2023,191
INVALID_14,Score,CENTRAL,Garden,07-09-2024,62
AGE1652,Chair,North,True,16-09-2024,13
AGE1653,Begin,West,Meeting,17-06-2024,234
AGE1654,Discover,CENTRAL,Shake,05-10-2023,9999
AGE1655,Great,East,Seek,05/12/2023,276
AGE1656,Rest,West,Begin,2024-06-20,244
AGE1657,Sort,North,Out,01/11/2023,16
AGE1658,Amount,West,Old,01/26/2023,79
AGE1659,Pick,Central,Attack,11/19/2022,253
AGE1660,High,South,Condition,12/08/2023,153
AGE1661,Week,South,Also,28/05/2024,281
AGE1662,Determine,South,Again,2022-05-28,208
AGE1663,Present,North,Both,04/22/2022,270
AGE1664,Music,south,Where,08-08-2024,34
AGE0600,Simply,Central,My,06/27/2023,120
AGE1666,Usually,North,Oil,07/15/2023,81
AGE1667,None,SOUTH,Every,2023-01-08,186
AGE1668,Relationship,East,Establish,2022-11-20,62
AGE1669,Mouth,East,Assume,03/31/2023,99
AGE1670,Each,Central,Sure,25/06/2023,214
AGE1671,Four,West,Left,10-07-2022,36
AGE1672,Among,East,Store,14/04/2023,151
AGE1673,Arrive,Central,Question,01/05/2023,149
AGE1674,Keep,Central,Follow,20-09-2023,176
AGE1675,Most,East,Affect,2023-12-16,57
AGE1676,Talk,North,Great,07-07-2022,222
AGE1677,Occur,Central,Against,18/03/2022,236
AGE1678,Improve,Central,Raise,16/05/2024,24
AGE1679,Understand,West,Act,06/08/2024,50
AGE1680,Right,West,Four,08-08-2022,5
AGE1681,Hospital,North,Along,2024-07-30,263
AGE1682,Begin,North,Able,11/05/2023,25
AGE1683,Control,North,Community,03-01-2023,124
AGE1684,Pull,Central,Do,01/17/2024,285
AGE1685,Research,West,Serve,21/04/2022,22
AGE1686,Worry,Central,Try,06-07-2023,56
AGE1687,Reduce,North,Here,2023-11-06,62
AGE1688,Week,South,Conference,24/09/2023,199
AGE1689,Worker,EAST,Guy,18/12/2022,298
AGE1690,Program,North,Concern,04/03/2023,257
AGE1691,Degree,North,Force,2023-09-11,71
AGE1692,High,East,Water,2022-04-30,150
AGE1379,Or,West,Computer,28-02-2024,104
AGE1694,Develop,North,North,2023-06-16,244
AGE1695,Mention,North,Run,07/12/2022,201
AGE1696,Most,East,Involve,05/14/2023,51
AGE1697,Democrat,North,Situation,2024-09-05,197
AGE1698,Very,East,Vote,06/08/2022,288
AGE1699,Fund,North,Pressure,2023-03-13,16
AGE1700,Kid,West,Scene,12/22/2023,81
AGE1701,Total,Central,Film,02-12-2024,72
AGE1702,We,South,Final,11-11-2022,134
AGE1703,During,East,Indicate,2023-07-21,240
INVALID_46,Charge,West,Impact,2024-09-13,24
AGE0954,Here,West,Operation,03/02/2023,258
AGE1706,Rather,South,Keep,2024-11-08,285
AGE1707,Thing,East,Heavy,02/07/2023,233
AGE1708,You,East,Then,2022-10-14,66
AGE1709,Others,NORTH,Nation,10-11-2022,69
AGE1710,Fear,Central,Even,06-10-2024,70
AGE1711,Down,Central,Exactly,05/20/2022,15
AGE1712,Inside,Central,Single,28-05-2024,56
AGE1713,Hotel,Central,Blood,2024-09-28,62
AGE1714,Make,West,Red,23-06-2024,7
AGE1715,Brother,East,Between,2024-05-05,0
AGE1716,Fire,North,Occur,2023-10-21,119
AGE1717,Writer,North,Inside,12/29/2022,285
AGE1718,Military,North,Benefit,2023-12-18,215
AGE1719,Activity,West,Tell,2022-07-15,83
AGE1720,Both,East,Enter,2024-10-27,101
AGE1721,Hospital,West,Edge,08/04/2022,70
AGE1722,Be,West,Term,25-05-2024,112
AGE1723,Letter,North,Billion,20/12/2023,114
AGE1724,Tree,South,Across,28-07-2022,260
AGE1725,Book,East,Face,11/19/2023,164
AGE1726,Film,East,Soldier,12/09/2022,4
AGE1727,Enter,East,Health,05/12/2022,142
INVALID_87,Rather,North,Wall,29/11/2023,243
AGE1729,Seem,North,City,17-12-2022,132
AGE1730,Art,East,Represent,20/01/2023,128
AGE1731,Check,North,American,27-12-2022,227
AGE1732,Want,Central,Election,01/25/2022,293
AGE1309,Try,North,More,11-02-2023,54
AGE1734,Surface,Central,Factor,22-11-2024,221
AGE1735,Plan,East,The,27/07/2022,132
AGE1736,Create,North,Inside,04/25/2023,86
AGE1737,Our,South,Common,04-06-2023,250
AGE1738,Push,North,Indicate,18-11-2024,36
AGE1739,Might,West,Management,13/05/2022,39
AGE1740,Must,WEST,Box,20-12-2023,74
AGE1741,Buy,central,Practice,2024-03-30,-1
AGE1742,Enough,South,Pick,05/07/2022,235
AGE1743,Traditional,North,Experience,2022-11-03,274
AGE1744,Option,East,Reduce,2022-02-18,247
AGE1745,Trip,North,Or,2024-04-28,233
AGE1746,Subject,North,Their,17/07/2023,237
AGE1747,All,West,Garden,06/15/2022,162
AGE1748,Hold,West,Little,19/06/2023,28
AGE1749,Special,East,Read,2023-12-10,299
AGE1750,Town,South,Medical,29-03-2024,213
AGE1751,Big,North,Choose,05/03/2023,58
AGE0358,Early,Central,Kid,10-11-2024,62
AGE1753,Four,Central,Democrat,28-09-2024,217
AGE1754,Several,west,Candidate,11/11/2023,62
AGE1755,Particular,Central,Plant,07/27/2024,237
AGE1756,Certain,CENTRAL,Food,03/11/2022,133
AGE1757,Seven,Central,Carry,08/19/2022,238
AGE1758,With,East,Green,2024-12-06,222
AGE1759,Participant,South,Character,25-09-2022,22
AGE1760,Including,SOUTH,Science,07/10/2022,35
AGE1761,View,East,Type,05/09/2024,0
AGE1762,Account,South,Military,09/07/2022,156
AGE1763,Much,north,Career,19-05-2023,141
AGE1764,Picture,East,Suffer,04/26/2022,27
AGE1765,Benefit,West,Through,06-05-2022,265
AGE1766,Interview,WEST,Buy,2022-11-16,223
AGE1767,Pull,East,Organization,2022-03-27,111
AGE1768,Subject,east,Recent,27-10-2024,111
AGE1769,Nature,South,Send,12/11/2024,283
INVALID_89,Cold,North,Fast,2024-10-18,295
AGE1771,Need,South,Choice,01/03/2024,24
AGE0959,Southern,West,Those,2023-11-04,92
INVALID_65,Music,North,Something,2024-05-19,29
AGE1774,Present,East,Change,09-07-2022,277
AGE1775,True,Central,Room,2023-09-13,285
AGE1776,Determine,North,Whether,11/09/2022,151
INVALID_88,Magazine,West,Possible,28-05-2024,101
AGE0987,Republican,North,Firm,05/07/2022,153
AGE1779,Organization,East,Source,09/09/2023,130
AGE1780,Score,West,Record,10-01-2023,215
AGE1781,Early,West,Enter,2022-06-17,288
AGE1782,Realize,South,Subject,07-03-2023,183
AGE1783,Administration,South,Up,19-06-2023,279
AGE1784,Add,Central,Sometimes,30-03-2023,223
AGE1785,Analysis,East,Road,07/01/2023,205
AGE1786,Skin,west,Situation,12/07/2022,25
AGE1787,Get,East,Challenge,24-04-2022,71
AGE1788,Even,East,These,20/09/2022,89
AGE1789,Nature,South,Daughter,2024-12-13,256
AGE1790,Natural,South,Oil,11/20/2022,38
AGE1791,Something,East,Section,2023-02-28,242
AGE1792,Instead,West,Almost,30/01/2023,79
AGE1793,Dog,Central,Start,27/04/2023,38
AGE1794,Mr,Central,Spend,2023-06-27,208
AGE1795,Story,EAST,Product,10/02/2023,219
AGE1796,Describe,Central,Open,01-05-2023,130
AGE1797,Third,East,Director,05-07-2023,156
AGE1798,Card,South,System,2024-10-06,166
AGE1799,Remain,West,Name,08-03-2024,146
AGE1800,Religious,South,Job,2023-12-28,265
AGE1801,Also,West,Watch,2022-02-09,115
AGE1802,Man,South,Himself,25/04/2022,268
AGE1803,More,West,Country,18/12/2023,189
AGE1804,Activity,Central,Action,02/05/2022,201
AGE1805,Rest,Central,Factor,03/30/2022,149
AGE1806,Knowledge,Central,Country,12/23/2023,124
AGE1807,Serious,East,Keep,19/04/2023,55
AGE1067,Door,North,Have,12/20/2022,159
AGE1809,For,North,Green,08/11/2024,136
AGE1810,Key,East,Interview,2024-06-28,104
AGE1811,Life,West,Various,08/25/2024,88
AGE1812,Grow,North,Realize,15/07/2024,145
AGE1813,Green,Central,Eye,09/17/2023,0
AGE1814,Forget,CENTRAL,Role,11-05-2024,203
AGE1815,Describe,East,Property,05/09/2024,232
AGE1816,Message,West,Mention,2022-08-12,82
AGE1817,Mother,West,Across,31/01/2022,131
AGE1818,Friend,East,Nearly,2024-12-25,43
AGE1819,Day,North,Be,20-07-2022,82
AGE1820,Happen,Central,Perform,01/04/2023,164
AGE1821,Individual,West,Give,26/07/2023,226
AGE1822,Many,South,Kind,30-01-2024,120
AGE1823,Our,South,Imagine,21/04/2022,183
AGE1824,Bill,East,Wall,02/11/2023,180
AGE1825,Task,South,Relate,2023-11-06,198
AGE1826,Modern,West,Prepare,01/28/2023,94
AGE1827,Result,north,Challenge,04/01/2023,236
AGE1828,Own,NORTH,Increase,09/01/2024,185
AGE1829,Occur,North,Almost,2024-06-23,72
AGE1830,Behind,Central,Fill,15-07-2023,62
AGE1831,Score,North,Five,06/17/2022,19
AGE1832,Sport,West,Some,27-11-2024,211
INVALID_78,Beat,West,Possible,2023-01-03,284
AGE1834,General,South,Still,26/06/2024,257
AGE1835,Civil,Central,Finally,2023-09-07,98
AGE1836,Meet,North,Resource,10/09/2022,244
AGE1837,Tv,South,Something,04-09-2024,159
AGE1838,Understand,EAST,Similar,31-08-2022,132
AGE1839,These,West,Finally,30-05-2022,72
AGE1840,Place,South,Plan,2023-09-07,21
AGE1841,Why,East,Dream,2024-08-25,300
AGE1842,Himself,Central,Figure,10/09/2023,153
AGE1843,Leave,West,Evening,10/07/2022,195
AGE1844,Seven,Central,Gun,02/10/2022,269
AGE1845,Common,Central,Term,11-06-2023,161
AGE1846,Enjoy,West,Conference,16-08-2023,17
AGE1847,Effort,South,Teacher,24-08-2024,23
AGE1848,Member,South,Member,07/26/2023,245
AGE1849,Likely,South,Ten,2024-08-16,54
AGE1850,Now,South,Sometimes,08/26/2023,46
AGE1851,Her,West,Property,2022-01-12,229
AGE1852,Them,South,Blue,03/03/2022,67
AGE1853,Mrs,CENTRAL,Reality,16-06-2022,277
AGE1854,Month,North,Study,15/05/2023,198
AGE1855,Who,North,Within,2023-01-14,203
AGE1856,Mind,North,Price,03/11/2024,158
AGE1857,Road,West,Power,2023-02-26,264
INVALID_38,Institution,North,Space,29/10/2023,217
AGE1859,Appear,Central,Key,11/30/2022,252
AGE1860,Everyone,South,East,20-04-2024,46
AGE1861,Company,East,Movie,03/06/2022,162
AGE1862,Of,west,Impact,09/23/2024,192
AGE1416,Citizen,West,Result,2024-09-28,51
AGE1864,Realize,Central,Threat,03-08-2022,161
AGE1865,Relationship,Central,Before,2022-03-18,163
AGE0123,Heart,South,Rest,05/21/2024,-1
AGE1867,Sister,Central,Agreement,02-02-2023,288
AGE1868,Course,East,Television,01/08/2023,51
AGE1869,Control,West,To,01/01/2022,262
AGE1870,Enough,West,Establish,05/16/2024,226
AGE1871,Morning,East,Play,25/02/2024,232
AGE1872,Account,East,Couple,2023-09-16,40
AGE1873,Wait,Central,Mean,09/04/2022,222
AGE1874,Crime,Central,Later,15/09/2022,126
AGE1875,Indeed,North,Organization,12/12/2023,226
AGE1876,Contain,central,Employee,11/04/2023,46
AGE1877,To,West,Center,08-04-2024,149
AGE1878,Debate,East,Bag,18/05/2023,0
AGE1879,For,East,Democrat,21/10/2022,259
AGE1880,Someone,North,Yes,28/04/2024,30
AGE1881,Seem,Central,More,2024-02-04,196
AGE1882,Nation,West,Also,25/04/2024,194
AGE1883,Act,South,Begin,2023-10-03,191
AGE1884,Dark,West,Concern,2022-08-25,288
AGE1885,Opportunity,East,Security,2024-01-10,210
AGE1886,Customer,North,Interesting,2022-03-09,156
AGE1887,Myself,Central,Step,25-12-2023,113
AGE1888,Resource,South,Wrong,25-08-2023,213
INVALID_92,Government,Central,Area,20/03/2022,111
AGE1890,Pressure,North,Anyone,10-12-2023,13
INVALID_76,Policy,North,Rock,30-05-2024,153
AGE1892,Person,North,Effect,19-02-2024,108
AGE1893,Indeed,West,Safe,31-10-2022,131
AGE1894,New,North,Another,07-02-2022,254
INVALID_42,This,North,Finish,2024-06-24,6
AGE1896,Management,East,Enter,2022-10-11,28
AGE1897,Specific,South,Later,12/17/2023,252
AGE1898,Nice,East,It,01/20/2022,28
AGE1899,Avoid,South,Memory,09-01-2023,12
AGE1900,Trade,North,Might,14-04-2022,75
AGE1901,Husband,Central,Smile,06/06/2022,129
AGE1902,Affect,East,Reduce,03/01/2024,262
AGE1903,Economic,West,Whole,05/01/2024,248
AGE1904,Same,Central,Anything,2023-09-14,91
AGE1905,Decide,Central,Professor,06/18/2024,62
AGE1906,Value,West,Pretty,2024-06-24,4
